clade_name	P35M2	P35M1	P35M0	C35F0	P34F2	P34F1	P34F0	C34M0	P24F1	P24F0	C24M0	P15M2	P15M1	P15M0	C15F0	P32M2	P32M1	P32M0	C32F0	P07M2	P07M1	P07M0	C07M0	P27M2	P27M1	P27M0	C27F0	P12M2	P12M1	P12M0	C12F0	P19M2	P19M1	P19M0	C19F0	P31M2	P31M1	P31M0	C31F0	P38M2	P38M1	P38M0	C38F0	P17M2	P17M1	P17M0	C17F0	P22M2	P22M1	P22M0	C22F0	P18M2	P18M1	P18M0	C18F0	P10M2	P10M1	P10M0	C10F0	P36M2	P36M1	P36M0	C36F0	P03M2	P03M1	P03M0	C03F0	P29F1	P29F0	C29M0	P13F2	P13F1	P13F0	C13M0	P01F2	P01F1	P01F0	C01M0	P30M2	P30M1	P30M0	C30F0	P28M1	P28M0	C28F0	P16M2	P16M1	P16M0	C16F0	P06M2	P06M0	P05M2	P05M0	C05F0	P33F2	P33F1	P33F0	C33M0	P21M1	P21M0	C21F0	P23M1	P23M0	C23M0	P04M2	P04M0	C04F0	P11M2	P11M1	P11M0	P08M2	P08M1	P08M0	C11F0	C08F0	P26M1	P26M0	C26F0	P37M2	P37M1	P37M0	C37F0	P25M2	P25M1	P25M0	C25F0	P14M2	P14M1	P14M0	C14F0	P02F2	P02F0	C02F0	P20M2	C20M0	P09M2	P09M1	P09M0	C09F0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Harryflintia|s__Harryflintia_acetispora	0	0	0	0	0	0	0	0	0	0	0	0	0.00421	0	0.04388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00483	0.01115	0.00597	0.01578	0	0	0	0	0.01859	0.00408	0.00378	0	0	0	0	0	0	0	0	0	0.00046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00793	0	0	0.00427	0	0.00204	0	0	0	0	0.00352	0	0	0	0	0	0	0	0	0.00098	0	0	0	0	0	0	0	0	0	0	0.00746	0	0	0	0	0	0	0.01407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00015
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor	0	0	0	0	0.00977	0	0	0	0	0	0	0	0	0	0	0.00085	0.00454	0.00516	0	0	0	0	0	0	0	0	0	0	0	0.00133	0	0	0	0	0	0	0	0	0	0	0	0	0.00128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00167	0.00138	0	0	0	0	0	0.00162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus	0	0	0	0	0.00133	0	0	0	0	0	0	0	0	0	0	0.00085	0.00454	0.00516	0	0	0	0	0	0	0	0	0	0	0	0.00133	0	0	0	0	0	0	0	0	0	0	0	0	0.00128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Pseudoflavonifractor|s__Pseudoflavonifractor_sp_An184	0	0	0	0	0.00844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00167	0.00042	0	0	0	0	0	0.00162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified	0	0	0	0	0.35484	0.00372	0	0	0	0	0	0.00063	0.02849	0.00089	1.19891	0	0.00087	0.0271	8.00E-05	0.01372	0.00496	0.04764	0.00259	0	0	0	0	0.00026	0	0.00895	0.00329	0.00293	0	0	0	0.00565	0.00615	0.00252	0.08842	0	0	0	0	2.86288	0.02106	0.15643	0	0	0	0	0.02943	0.0019	0	0.00499	0.00797	0.02041	0.01426	0.17855	0	0	0	0.26164	0.03934	0	0	0	0.06133	0	0	0	0	0	0	0.02485	0.00014	0.00061	0.00432	0.02104	0.0371	0.03015	0.07553	0.03102	0	0.00024	0.16507	0.00364	0.00992	1.46284	0	0.03431	0.02062	0.57708	2.82419	0.53685	0.48194	0.24927	0.50196	0.00046	0.00378	0.03003	0.38318	0.00338	0.05636	0.09084	0	0.0003	0.00677	2.43097	4.85272	0.02945	0.00514	0.01382	0.00397	0.00045	3.77641	0	0	0.17746	0.14889	0.0065	0.00775	0.02207	0.02863	0.06096	0.00552	0	0	0	0	0	0	0	0.0146	0	0	0	0	0.0058	4.00E-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_leptum	0	0	0	0	0.35484	0.00372	0	0	0	0	0	0	0.0007	0	0.01578	0	0.00087	0.0271	8.00E-05	0	0	0	0.00259	0	0	0	0	0.00026	0	0.00895	0.00329	0.00293	0	0	0	0.00453	0.00396	7.00E-05	0.01963	0	0	0	0	0.05616	0.01977	0.14885	0	0	0	0	0.02585	0.0019	0	0.00499	0.00764	0.0171	0.01067	0.17556	0	0	0	0.23557	0.02781	0	0	0	0.0045	0	0	0	0	0	0	0.00763	0.00014	0.00061	0.00432	0	0.00227	0.0003	0.06155	0.03102	0	0.00024	0.16011	0.00364	0.00992	1.46284	0	0.01709	0.01277	0	0	0.53685	0.00047	0.01011	0.10462	0.00046	0.00378	0.02998	0.31581	0.00055	0.03996	0.01733	0	0.0003	0.00677	0.00222	0.0007	0.02269	0.00514	0.01382	0.00397	0	0.00034	0	0	0.17746	0.05091	0.00045	0	0.02207	0.02856	0.06096	0.00552	0	0	0	0	0	0	0	0.01431	0	0	0	0	0	4.00E-05
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Clostridium_methylpentosum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00659	0	0	0	0	0.00245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00066	0	4.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	7.00E-05	0	0	0	0	0	0	0	0	0	0.00029	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Eubacterium_siraeum	0	0	0	0	0	0	0	0	0	0	0	0.00063	0.02779	0.00089	1.14123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05617	0	0	0	0	0	0	0.01717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57708	2.82419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42809	4.85202	0.00672	0	0	0	0.00045	3.7675	0	0	0	0.09798	0.00605	0.00775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00426	0.0028	0.03388	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00112	0.00218	0.00246	0	0	0	0	0	0.00403	0.00129	0.00099	0	0	0	0	0.00113	0	0	0	0	0.00331	0.00359	0.00299	0	0	0	0.02607	0.01154	0	0	0	0.00066	0	0	0	0	0	0	6.00E-05	0	0	0	0.02104	0.03483	0.02985	0.01398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.00E-05	0.06737	0.00283	0.0164	0.05173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0058	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium_D5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04189	0	0	0	0	0.00946	0.00216	0.01376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06879	0	0	0	0	0.29622	0	0	0	0	0	0	0	0	0	0	0.00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00173	0	0	0	0	0.01722	0.00785	0	0	0	0.48146	0.23916	0.39734	0	0	0	0	0	0	0.02179	0	0	0	0	0	0	0	0	0	0	0.00857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
